Item #,Item Name,Transaction ID,Transaction
1,Quilts,Trans1,"Decorative Pillows, Quilts, Embroidered Bedspread"
2,Bedspreads,Trans2,"Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections, Bed Skirts, Bedspreads, Sheets"
3,Decorative Pillows,Trans3,"Decorative Pillows, Quilts, Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections"
4,Bed Skirts,Trans4,"Kids Bedding, Bedding Collections, Sheets, Bedspreads, Bed Skirts"
5,Sheets,Trans5,"Decorative Pillows, Kids Bedding, Bedding Collections, Sheets, Bed Skirts, Bedspreads"
6,Shams,Trans6,"Bedding Collections, Bedspreads, Bed Skirts, Sheets, Shams, Kids Bedding"
7,Bedding Collections,Trans7,"Decorative Pillows, Quilts"
8,Kids Bedding,Trans8,"Decorative Pillows, Quilts, Embroidered Bedspread"
9,Embroidered Bedspread,Trans9,"Bedspreads, Bed Skirts, Shams, Kids Bedding, Sheets"
10,Towels,Trans10,"Quilts, Embroidered Bedspread, Bedding Collections"
,,Trans11,"Bedding Collections, Bedspreads, Bed Skirts, Kids Bedding, Shams, Sheets"
,,Trans12,"Decorative Pillows, Quilts"
,,Trans13,"Embroidered Bedspread, Shams"
,,Trans14,"Sheets, Shams, Bed Skirts, Kids Bedding"
,,Trans15,"Decorative Pillows, Quilts"
,,Trans16,"Decorative Pillows, Kids Bedding, Bed Skirts, Shams"
,,Trans17,"Decorative Pillows, Shams, Bed Skirts"
,,Trans18,"Quilts, Sheets, Kids Bedding"
,,Trans19,"Shams, Bed Skirts, Kids Bedding, Sheets"
,,Trans20,"Decorative Pillows, Bedspreads, Shams, Sheets, Bed Skirts, Kids Bedding"
